Date,Open,High,Low,Close,Adj Close,Volume,,,,Period 1:,
2/21/12,1361.219971,1367.76001,1358.109985,1362.209961,1362.209961,3795200000,,,,0.08383,<-- Returns
2/22/12,1362.109985,1362.699951,1355.530029,1357.660034,1357.660034,3633710000,-0.003340107,-0.003396802,,0.0342,<-- Sharpe
2/23/12,1357.530029,1364.23999,1352.280029,1363.459961,1363.459961,3786450000,0.004272002,0.004215307,,Period 2:,
2/24/12,1363.459961,1368.920044,1363.459961,1365.73999,1365.73999,3505360000,0.001672238,0.001615543,,0.14846,
2/27/12,1365.199951,1371.939941,1354.920044,1367.589966,1367.589966,3648890000,0.001354559,0.001297864,,0.07366,
2/28/12,1367.560059,1373.089966,1365.969971,1372.180054,1372.180054,3579120000,0.003356333,0.003299638,,Period 3:,
2/29/12,1372.199951,1378.040039,1363.810059,1365.680054,1365.680054,4482370000,-0.004736988,-0.004793683,,0.18704,
3/1/12,1365.900024,1376.170044,1365.900024,1374.089966,1374.089966,3919240000,0.00615804,0.006101345,,0.08921,
3/2/12,1374.089966,1374.530029,1366.420044,1369.630005,1369.630005,3283490000,-0.003245756,-0.003302451,,Period 4:,
3/5/12,1369.589966,1369.589966,1359.130005,1364.329956,1364.329956,3429480000,-0.003869694,-0.003926389,,0.23584,
3/6/12,1363.630005,1363.630005,1340.030029,1343.359985,1343.359985,4191060000,-0.015370161,-0.015426856,,0.1182,
3/7/12,1343.390015,1354.849976,1343.390015,1352.630005,1352.630005,3580380000,0.006900622,0.006843927,,,
3/8/12,1352.650024,1368.719971,1352.650024,1365.910034,1365.910034,3543060000,0.009817932,0.009761237,,,
3/9/12,1365.969971,1374.76001,1365.969971,1370.869995,1370.869995,3639470000,0.00363125,0.003574555,,,
3/12/12,1370.780029,1373.040039,1366.689941,1371.089966,1371.089966,3081870000,0.000160461,0.000103766,,,
3/13/12,1371.920044,1396.130005,1371.920044,1395.949951,1395.949951,4386470000,0.018131549,0.018074854,,,
3/14/12,1395.949951,1399.420044,1389.969971,1394.280029,1394.280029,4502280000,-0.001196262,-0.001252957,,,
3/15/12,1394.170044,1402.630005,1392.780029,1402.599976,1402.599976,4271650000,0.005967199,0.005910504,,,
