date,coffee,coffee_%,corn,corn_%,sugar,sugar_%,soybean,soybean_%,wheat,wheat_%
2/21/12,224.1,0.0019,559,-0.0009,23.96,0,1211.25,0.0069,739,-0.004
2/22/12,223.9166667,-0.0008,558.5,-0.0009,23.93,-0.0013,1216,0.0039,736,-0.0041
2/23/12,223.7333333,-0.0008,558,-0.0009,24.1,0.0071,1218.5,0.0021,733,-0.0041
2/24/12,223.55,-0.0008,557,-0.0018,24.11,0.0004,1218.5,0,730,-0.0041
2/27/12,223.3666667,-0.0008,559.5,0.0045,24.23,0.005,1225.25,0.0055,732,0.0027
2/28/12,223.1833333,-0.0008,561,0.0027,24.15,-0.0033,1226.25,0.0008,752,0.0273
2/29/12,223,-0.0008,566.75,0.0102,24.25,0.0041,1231.25,0.0041,752,0
3/1/12,221.75,-0.0056,568.375,0.0029,24.13,-0.0049,1233.5,0.0018,752,0
3/2/12,220.5,-0.0056,570,0.0029,24.25,0.005,1230,-0.0028,752,0
3/5/12,218.75,-0.0079,573,0.0053,24.33,0.0033,1217.5,-0.0102,752.75,0.001
3/6/12,217,-0.008,568,-0.0087,23.7,-0.0259,1219.5,0.0016,746.375,-0.0085
3/7/12,213.35,-0.0168,563,-0.0088,23.59,-0.0046,1223.25,0.0031,740,-0.0085
3/8/12,209.7,-0.0171,565,0.0036,23.6,0.0004,1228,0.0039,741.3125,0.0018
3/9/12,206.05,-0.0174,560,-0.0088,23.6,0,1236.75,0.0071,742.625,0.0018
3/12/12,202.4,-0.0177,566.5,0.0116,23.21,-0.0165,1228.75,-0.0065,743.28125,0.0009
3/13/12,203.5,0.0054,564,-0.0044,23.67,0.0198,1233.25,0.0037,743.9375,0.0009
3/14/12,203.58125,0.0004,562,-0.0035,23.5,-0.0072,1236.5,0.0026,745.25,0.0018
3/15/12,203.6625,0.0004,564,0.0036,23.66,0.0068,1247.75,0.0091,746.5625,0.0018
3/16/12,203.74375,0.0004,570.75,0.012,23.93,0.0114,1250.25,0.002,747.875,0.0018
3/19/12,203.825,0.0004,567.75,-0.0053,24.17,0.01,1243.75,-0.0052,749.1875,0.0018
3/20/12,203.90625,0.0004,566.25,-0.0026,24.22,0.0021,1228.75,-0.0121,750.5,0.0018
3/21/12,203.9875,0.0004,564.5,-0.0031,23.81,-0.0169,1236.25,0.0061,751.8125,0.0017
3/22/12,204.06875,0.0004,561.5,-0.0053,23.71,-0.0042,1231.25,-0.004,753.125,0.0017
3/23/12,204.15,0.0004,558.5,-0.0053,24.05,0.0143,1238.75,0.0061,754.4375,0.0017
3/26/12,204.6083333,0.0022,558.5,0,24.15,0.0042,1243,0.0034,755.75,0.0017
3/27/12,205.0666667,0.0022,556,-0.0045,23.96,-0.0079,1242.75,-0.0002,747.5833333,-0.0108
3/28/12,205.525,0.0022,550.5,-0.0099,23.9,-0.0025,1236,-0.0054,739.4166667,-0.0109
3/29/12,205.9833333,0.0022,541,-0.0173,23.63,-0.0113,1222.75,-0.0107,731.25,-0.011
3/30/12,206.4416667,0.0022,544.5,0.0065,24,0.0157,1247.25,0.02,738.8333333,0.0104
4/2/12,206.9,0.0022,552,0.0138,23.92,-0.0033,1261.25,0.0112,746.4166667,0.0103
4/3/12,209.8,0.014,557.25,0.0095,23.99,0.0029,1265.25,0.0032,754,0.0102
4/4/12,213,0.0153,557.375,0.0002,24,0.0004,1263.75,-0.0012,750.4,-0.0048
4/5/12,211.8571429,-0.0054,557.5,0.0002,23.91,-0.0038,1262,-0.0014,746.8,-0.0048
4/9/12,210.7142857,-0.0054,560,0.0045,24.1,0.0079,1262.75,0.0006,743.2,-0.0048
4/10/12,209.5714286,-0.0054,559,-0.0018,24,-0.0041,1246.75,-0.0127,739.6,-0.0048
4/11/12,208.4285714,-0.0055,558,-0.0018,23.89,-0.0046,1243.75,-0.0024,736,-0.0049
4/12/12,207.2857143,-0.0055,557.75,-0.0004,23.85,-0.0017,1256.75,0.0105,740,0.0054
4/13/12,206.1428571,-0.0055,548.875,-0.0159,23.98,0.0055,1244.25,-0.0099,738.5294118,-0.002
4/16/12,205,-0.0055,540,-0.0162,23.6,-0.0158,1240,-0.0034,737.0588235,-0.002
4/17/12,203.8571429,-0.0056,542.5,0.0046,23.16,-0.0186,1247,0.0056,735.5882353,-0.002
4/18/12,202.7142857,-0.0056,545,0.0046,23.6,0.019,1232.5,-0.0116,734.1176471,-0.002
4/19/12,201.5714286,-0.0056,550,0.0092,23.25,-0.0148,1238.5,0.0049,732.6470588,-0.002
4/20/12,200.4285714,-0.0057,549,-0.0018,22.93,-0.0138,1242,0.0028,731.1764706,-0.002
4/23/12,199.2857143,-0.0057,548,-0.0018,23.12,0.0083,1233.25,-0.007,729.7058824,-0.002
4/24/12,198.1428571,-0.0057,550.25,0.0041,22.75,-0.016,1236.75,0.0028,728.2352941,-0.002
4/25/12,197,-0.0058,554.5,0.0077,22.94,0.0084,1244.75,0.0065,726.7647059,-0.002
4/26/12,197.2666667,0.0014,552.5,-0.0036,22.92,-0.0009,1235.5,-0.0074,725.2941176,-0.002
4/27/12,197.5333333,0.0014,550.5,-0.0036,22.67,-0.0109,1236.75,0.001,723.8235294,-0.002
4/30/12,197.8,0.0013,548.5,-0.0036,22.89,0.0097,1248.75,0.0097,722.3529412,-0.002
5/1/12,205,0.0364,550.75,0.0041,22.53,-0.0157,1250.75,0.0016,720.8823529,-0.002
5/2/12,204.5,-0.0024,550.25,-0.0009,22.6,0.0031,1226.5,-0.0194,719.4117647,-0.002
5/3/12,203.6944444,-0.0039,546.5,-0.0068,22.51,-0.004,1236.5,0.0082,717.9411765,-0.002
5/4/12,202.8888889,-0.004,542.75,-0.0069,22.45,-0.0027,1237.25,0.0006,716.4705882,-0.002
5/7/12,202.0833333,-0.004,539,-0.0069,22.38,-0.0031,1224.5,-0.0103,715,-0.0021
5/8/12,201.2777778,-0.004,543.25,0.0079,22.54,0.0071,1210.5,-0.0114,719.9444444,0.0069
5/9/12,200.4722222,-0.004,540,-0.006,22.2,-0.0151,1200.5,-0.0083,724.8888889,0.0069
5/10/12,199.6666667,-0.004,538,-0.0037,22.23,0.0014,1207.75,0.006,729.8333333,0.0068
5/11/12,198.8611111,-0.004,529.75,-0.0153,22.09,-0.0063,1176.75,-0.0257,734.7777778,0.0068
5/14/12,198.0555556,-0.0041,532.75,0.0057,22.16,0.0032,1159.25,-0.0149,739.7222222,0.0067
5/15/12,197.25,-0.0041,533.5,0.0014,22.2,0.0018,1171.75,0.0108,744.6666667,0.0067
5/16/12,196.4444444,-0.0041,538.25,0.0089,22.25,0.0023,1165,-0.0058,749.6111111,0.0066
