date,braz,viet,colo,iowa,arge,thai,aust,cana,russ,kans
2/17/12,69.7,72.9,84.4,28.6,77.8,80.3,76.2,11.1,21.6,41.5
2/18/12,72,70.2,84.8,26.6,81.9,76.8,77.8,23.1,20.1,43
2/19/12,74.8,66.9,85.8,28.3,76.5,73.6,78.7,27.4,21.8,39.4
2/20/12,71.9,71.1,85.6,34.7,76.3,74.2,80.1,25.7,33.2,42.7
2/21/12,69.2,74.2,85.4,37,72.5,78.7,78.1,22.7,33,42.9
2/22/12,70.1,78.2,86.4,38.8,68.5,81.6,75.3,25.2,30.6,45.1
2/23/12,70.6,82.2,87.3,36.9,70.9,83.9,70.4,26.5,34.5,52
2/24/12,69.4,82.6,87.8,28.3,71,85.4,73.1,17.6,37.8,41.3
2/25/12,70.6,81.3,86.6,19.3,74.6,83.8,76.2,15.9,40.8,38.3
2/26/12,71.5,78.8,85.6,32.7,70.5,86.8,75.6,7.2,39.8,49.7
2/27/12,70.1,76.8,86.2,24.6,72.1,79.6,76.5,7.7,31.6,47.1
2/28/12,70,77.2,87.9,33.7,68.9,81,77.6,8.1,28.7,52
2/29/12,74.6,77.8,87.7,35.5,71.1,83.9,78.3,18.1,28.9,53.2
3/1/12,76.7,78.4,86.6,29.1,71.1,85.8,78.4,20.7,29.5,49.6
3/2/12,73.2,79.1,88.9,32.2,71.5,87.2,79.6,15.5,32.5,48.2
3/3/12,69.3,79.7,87.1,29.5,76.6,84,75.7,13.1,36.3,39.4
3/4/12,70.1,80.3,90.1,29.4,79.6,84.3,77.1,26.6,33.1,44.3
3/5/12,71,80.9,81.2,32.2,78.1,87,75.1,29.8,29.6,48
3/6/12,70.4,80.6,86,49.5,72.9,87.2,71.2,25.2,27.5,59.6
3/7/12,69.4,79.5,86.7,49.4,76.5,86.6,73,14.4,26.5,62.4
3/8/12,68.9,78.3,86.5,35.2,76.6,87,74.4,17.8,26.9,44.5
3/9/12,67.4,79.4,82.1,37.3,75.6,84.3,75.1,25.6,29,40.2
3/10/12,68.8,76.5,78.9,54.1,78,75.6,76.2,33.2,29.1,45.7
3/11/12,72.1,75.2,84.1,51.2,77.4,77.5,74.9,34.3,34.3,48.6
3/12/12,71.6,76.1,87.1,50.4,74.1,79.4,72.8,40.2,35.2,55.5
3/13/12,72.1,75.9,81.4,53.6,72.2,80.4,73.5,39.2,34.7,60.1
3/14/12,72.6,76.9,83.7,63.4,67.8,83.1,72.4,38.7,37.1,67.1
3/15/12,66.3,78.7,87.8,54,65.8,84.2,73.8,34.2,35.1,68.2
3/16/12,61.4,79.6,81,61.6,67.1,87.6,77.1,45.3,36.5,68.2
3/17/12,63.6,80.6,81.5,69.3,72.8,80.7,73.1,42.4,42.2,67.9
3/18/12,63.7,79.2,85.5,73.2,75.3,82.8,72,39.4,49.4,67.4
3/19/12,64.4,79,80.4,68.7,79.8,85.6,73.5,36.5,55.9,63.7
3/20/12,65.1,76.8,80.8,56.5,68.7,84.9,74,26.9,49.5,53.6
3/21/12,76.7,73.3,83.3,55.8,72.8,86.7,74.9,30.3,51.7,53.1
3/22/12,69.6,78.9,75.5,60.3,66.1,86.6,69.8,33.6,49.1,48.4
3/23/12,67.2,77,84.1,52.7,61,87.9,75,27.5,51.1,49.7
3/24/12,66.6,74,85.5,56.8,60.5,78.6,73.5,21,47.8,54.9
3/25/12,67.5,74.7,80.1,58.6,65.8,79.3,69.8,24.4,48.7,60.7
3/26/12,72.3,74.1,76.2,63.9,62,80,70.1,35.6,41.3,64
3/27/12,66.3,73.6,83.1,69,54.6,82.1,71.6,36,38.2,69.7
3/28/12,59,73.3,85.5,56.4,58.1,83.1,71.8,34.7,41.6,68.7
3/29/12,55.8,73,87.3,59,66.4,85.6,72,41.2,47.3,68.2
3/30/12,62.4,72.8,78.9,57.9,66.4,86,71.2,49.5,42.3,68.4
3/31/12,62.2,72.5,87.1,63.1,70,79.7,72,40.9,45.1,67.8
4/1/12,64.6,70.8,85.3,68.6,71.6,79.9,72.6,47.7,41.6,72
4/2/12,64.6,72.2,83.4,74.2,70.7,82.8,74.1,38.3,41.2,73.3
4/3/12,65.9,79,83.9,56.9,69.1,87.5,74.1,43.4,45.3,67.7
4/4/12,66.5,78.9,84.3,58.2,73.9,83.7,72.6,52.4,44.5,63.7
4/5/12,70.6,78.9,79,58.3,63.8,82.6,72.3,51.9,49.1,55.3
4/6/12,67.6,78.8,79,51.5,61.4,84.4,69.6,35.3,48.7,53.9
4/7/12,69.7,78.9,82.9,56,68.2,75.9,71.7,35.1,54.4,54.9
4/8/12,68.1,79.1,79.2,49.4,68.3,81.5,70.5,29.9,50.3,52.4
4/9/12,62.6,79.2,77.3,49.7,66.6,86.5,73.9,26.5,41.7,56.1
4/10/12,66.7,79.7,83,44.1,69.2,86.8,67.5,28.7,42.7,60.3
4/11/12,70.2,78.9,80.5,42.7,69.5,88.9,66.3,36.7,42.8,56.2
4/12/12,71.4,77.8,74.6,44.7,67.8,90.8,66.5,44.6,43.8,56.1
4/13/12,70.4,75.6,81.8,53.8,69.1,89.8,68.4,46.7,48.5,63.7
4/14/12,69.9,77,79.7,55.3,70.7,90.4,68.9,40.9,48.8,65.3
4/15/12,66.8,78.4,83.5,61.9,68.4,88,68.7,33.4,51.3,66.7
4/16/12,63.8,79.8,86.5,47.3,65.3,88.6,69.8,24,51.3,55.9
4/17/12,61.8,81.1,80.7,50.6,70.2,90.2,69.3,31.1,52.4,56.9
4/18/12,62.8,79.2,81.5,62.1,66.7,91.3,70.7,29,55.3,60.8
4/19/12,62.9,80.5,77.2,50.9,70.9,91.5,72,38.5,52.2,64.4
4/20/12,65,80.8,83.9,45.9,68.6,93.3,72.2,36.8,53,57.3
4/21/12,65.2,75.3,80.1,53.5,62.5,85.7,72.5,40.7,53.5,50.4
4/22/12,60,77.4,82.5,51.9,55.6,85.2,71.4,46,55.6,55.7
4/23/12,62.4,79,85.2,51,57.8,89.4,74.4,55.1,57.4,51.4
4/24/12,60.2,81.5,80.6,62.9,50.3,92.2,71.2,55,54.8,61
4/25/12,62.5,81.4,83,72.9,51.9,92.9,64.2,44.2,54.8,73.6
4/26/12,59.8,79,83.2,63.6,55.3,92.1,63.8,36.6,58.9,70.7
4/27/12,60.8,78.3,84.8,55.7,52.2,79,64.9,40.5,67,70.6
4/28/12,58.7,77.2,82.9,47.6,53,85,64.8,37.7,72.4,67.6
4/29/12,61.5,81.1,83,49.2,50.7,86.4,67.7,41.6,72.8,63.6
4/30/12,53.3,79.9,84.9,56.1,51.4,89.6,66.6,44.3,72.9,65
5/1/12,50.6,81.5,82.7,68,57,91,67,48.9,75.8,67.8
5/2/12,54.6,83.1,83,69.2,60.6,90.5,67.8,42,74.8,73.4
5/3/12,57.6,81.9,82.9,73.4,63.6,86.1,68.3,43.5,71.6,74.6
5/4/12,60.2,79.8,83.2,73.7,65.8,90,66.8,46.5,69.1,75.7
5/5/12,61.4,77.5,81.5,74.8,64,86.7,62.7,48.8,65.8,75.1
5/6/12,58.5,76.6,81.6,70.5,62.6,79.6,61.5,47.1,67.9,74.8
5/7/12,59.7,78.4,76.4,59,66.9,82,63.9,49,68.6,66.7
5/8/12,62,78.9,84.3,56.4,68,80.5,64.4,50.9,66.4,61.5
5/9/12,59.1,78.8,80.2,55.1,66.2,79.8,64.5,63.3,69.4,60.7
5/10/12,61.4,81.2,84.5,63.8,63.6,85.6,65,55.6,69.7,62.9
5/11/12,60.1,79.3,78.7,67.5,59.8,90.4,65.4,44.6,74.2,63.9
5/12/12,63.4,78.6,84,58.2,53.2,89.5,66.8,50.1,76.4,64.1
5/13/12,59.5,79.6,83.4,60,51.9,88,63.8,57.3,66.9,63.5
5/14/12,55,78.4,84.1,66.4,60,89.1,56.5,59.4,63.7,64.6
5/15/12,54.7,75.6,84.4,68.1,59.5,84.2,61,53.3,65.6,64.9
5/16/12,56.7,77,87.6,63.3,63.1,84.9,61.5,61.9,61.2,68.7
5/17/12,56.1,76.1,84.5,73.5,65,81.5,63,59.7,60.9,70.3
5/18/12,56.9,80.4,81.2,80,61.9,81.8,61.4,49.3,67.2,72.6
5/19/12,55.3,81.5,79.9,76.8,57.2,84.8,61.3,45.2,72.5,73.4
5/20/12,59.8,80.4,76.4,63,63,86.5,61.1,46.2,69.6,70.5
5/21/12,57.8,81,84.4,60.1,60.1,88.5,64.1,59,69.9,64.5
5/22/12,58.6,81.2,84.7,69.2,58.5,85.8,63.3,53.6,63.5,64
5/23/12,58.6,79,81.9,76.4,60,82.2,63.7,46.2,69,72.7
5/24/12,57.8,74.6,81.6,62.3,59.4,83.7,68,42.8,65.5,76.6
5/25/12,61,76.5,85.3,57.5,62,82.5,58.4,45.6,56.3,77.4
5/26/12,59.2,75,83.4,68.1,62.4,80.5,57,48.9,61.3,78.7
5/27/12,58.4,77.6,86.2,81.6,63.9,82.5,58.3,49.6,62.5,77.9
5/28/12,64.3,79.7,84.5,68.6,64.7,81.4,62.8,44.5,60.1,79.6
5/29/12,65.2,76.7,87.9,62.6,67.2,85.5,62.5,46.7,62,76.8
5/30/12,67.5,79.5,82.4,56,59.3,84.7,63.3,53.1,63.9,74.7
5/31/12,58.1,77.6,79.8,53.1,54.2,80.8,62.2,58.1,64.5,65.5
6/1/12,56.7,79,86.8,53.9,54.4,81.2,63,58.1,63.1,56.2
